MANAGER_PERSON_NUMBER;CONTEST_CODE;TOURNAMENT_CODE;CONTEST_DATE;PLAN_VALUE;FACT_VALUE;priority_type
00000000000000851230;01_2025-0_01-9_3;t_01_2025-0_01-9_3_3091;2025-09-20;0.00000;0.00000;1
00000000000000365626;01_2025-0_01-9_1;t_01_2025-0_01-9_1_3091;2025-09-20;0.00000;0.00000;1
00000000000001558323;01_2025-0_01-9_2;t_01_2025-0_01-9_2_3091;2025-09-20;0.00000;0.00000;1


00000000000001940838;01_2025-1_01-8;t_01_2025-1_01-8_2041;2025-10-24;1.00000;1.00000;1
00000000000000693383;01_2025-1_01-8;t_01_2025-1_01-8_2041;2025-10-24;1.00000;1.00000;1
00000000000002157197;01_2025-1_01-8;t_01_2025-1_01-8_2041;2025-10-24;1.00000;1.00000;1
00000000000002015455;01_2025-1_01-8;t_01_2025-1_01-8_2041;2025-10-24;1.00000;1.00000;1
00000000000001650083;01_2025-1_01-8;t_01_2025-1_01-8_2041;2025-10-24;1.00000;1.00000;1
00000000000002019011;01_2025-1_01-8;t_01_2025-1_01-8_2041;2025-10-24;1.00000;1.00000;1
00000000000999031202;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;2150000000.00000;1
00000000000999063115;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;1546000000.00000;1
00000000000999079681;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;1145000000.00000;1
00000000000999086767;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;1070000000.00000;1
00000000000999086564;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;938700000.00000;1
00000000000999080465;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;850000000.00000;1
00000000000999017256;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;818000000.00000;1
00000000000999085888;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;708500000.00000;1
00000000000999087399;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;600000000.00000;1
00000000000999086130;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;474000000.00000;1
00000000000999087142;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;450000000.00000;1
00000000000999066987;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;409700000.00000;1
00000000000999031396;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;340000000.00000;1
00000000000999067862;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;320000000.00000;1
