CONTEST_CODE;FULL_NAME;CREATE_DT;CLOSE_DT;BUSINESS_STATUS;CONTEST_TYPE;CONTEST_DESCRIPTION;CONTEST_FEATURE;SHOW_INDICATOR;PRODUCT_GROUP;PRODUCT;CONTEST_SUBJECT;FACTOR_MARK_TYPE;CONTEST_INDICATOR_METHOD;CONTEST_FACTOR_METHOD;PLAN_METHOD_CODE;PLAN_MOD_METOD;PLAN_MOD_VALUE;FACTOR_MATCH;CONTEST_PERIOD;TARGET_TYPE;SOURCE_UPD_FREQUENCY;CALC_TYPE;BUSINESS_BLOCK
01_2025-0_08-2_3;Защита 360. Накопи 500;2025-01-01;4000-01-01;АКТИВНЫЙ;ИНДИВИДУАЛЬНЫЙ НАКОПИТЕЛЬНЫЙ;описание;{"""feature""": [], """vid""": """ПРОМ""", """momentRewarding""": """DURIN""", """minNumber""": 1, """capacity""": """THOUSANDS""", """accuracy""": 0, """masking""": """N""", """tournamentStartMailing""": """N""", """tournamentEndMailing""": """N""", """tournamentLikeMailing""": """Y""", """tournamentRewardingMailing""": """Y""", """tournamentListMailing""": [], """persomanNumberVisible""": [],  """persomanNumberHidden""": [], """gosbVisible""": [], """gosbHidden""": [], """tbVisible""": [], """tbHidden""": [], """businessBlock""": ["""KMKKSB"""], """typeRewarding""": """one"""};Комиссия, тыс. руб.;Страхование;Защита 360;EMPLOYEE;CRITERION;INTEGRAL;FACT;PRESET_VALUE;;500000;>=;[];ПРОМ;7;1;["""KMKKSB"""]
01_2025-0_08-2_4;Защита бизнеса 360. Максимизируй комиссию;2025-01-01;4000-01-01;АКТИВНЫЙ;ТУРНИРНЫЙ;Чтобы стать участником турнира необходимо в 1 квартале получить комиссионное вознаграждение не менее чем от двух сделок по страховому продукту «Защита бизнеса 360». Общая сумма сделок должна превышать 2 млн рублей. ТОП-3 участника в каждом тербанке станут победителями турнира!;{"""feature""": ["""Победители получают один максимальный по достоинству бейдж""", """Победители получат возможность принять участие в бизнес-сессии управления благосостояния""", """Информация обновляется еженедельно на основе отчета по продажам продуктов управления благосостояния"""], """vid""": """ПРОМ""", """momentRewarding""": """AFTER""", """minNumber""": 1, """capacity""": """THOUSANDS""", """accuracy""": 2, """masking""": """N""", """tournamentStartMailing""": """Y""", """tournamentEndMailing""": """Y""", """tournamentLikeMailing""": """Y""", """tournamentRewardingMailing""": """Y""", """tournamentListMailing""": [], """persomanNumberVisible""": [],  """persomanNumberHidden""": [], """gosbVisible""": [], """gosbHidden""": [], """tbVisible""": [], """tbHidden""": [], """businessBlock""": ["""KMKKSB"""], """typeRewarding""": """one"""};Комиссия, тыс. руб.;Страхование;Защита 360;EMPLOYEE;RATING_MAX;INTEGRAL;FACT;PRESET_VALUE;;2000000;>=;[];ПРОМ;7;1;["""KMKKSB"""]
01_2025-0_08-2_5;Защита бизнеса 360. Максимизируй комиссию;2025-01-01;4000-01-01;АКТИВНЫЙ;ТУРНИРНЫЙ;Чтобы стать участником турнира необходимо во 2 квартале получить комиссионное вознаграждение не менее чем от двух сделок по страховому продукту «Защита Бизнеса 360». Общая сумма КВ от сделок должна превышать 2 млн рублей. ТОП-3 участника в каждом тербанке станут победителями турнира!;{"""feature""": ["""Победители получают один максимальный по достоинству бейдж""", """Победители получат возможность принять участие в бизнес-сессии управления благосостояния""", """Информация обновляется еженедельно на основе отчета по продажам продуктов управления благосостояния"""], """vid""": """ПРОМ""", """momentRewarding""": """AFTER""", """minNumber""": 1, """capacity""": """THOUSANDS""", """accuracy""": 2, """masking""": """N""", """tournamentStartMailing""": """Y""", """tournamentEndMailing""": """Y""", """tournamentLikeMailing""": """Y""", """tournamentRewardingMailing""": """Y""", """tournamentListMailing""": [], """persomanNumberVisible""": [],  """persomanNumberHidden""": [], """gosbVisible""": [], """gosbHidden""": [], """tbVisible""": [], """tbHidden""": [], """businessBlock""": ["""KMKKSB"""], """typeRewarding""": """one"""};Комиссия, тыс. руб.;Страхование;Защита 360;EMPLOYEE;RATING_MAX;INTEGRAL;FACT;PRESET_VALUE;;2000000;>=;[];ПРОМ;7;1;["""KMKKSB"""]
01_2025-0_08-6_1;Страхование залога в СберБизнес. Первая продажа;2025-01-01;4000-01-01;АКТИВНЫЙ;ИНДИВИДУАЛЬНЫЙ НАКОПИТЕЛЬНЫЙ;описание;{"""feature""": [], """vid""": """ПРОМ""", """momentRewarding""": """DURIN""", """minNumber""": 1, """capacity""": """""", """accuracy""": 0, """masking""": """N""", """tournamentStartMailing""": """N""", """tournamentEndMailing""": """N""", """tournamentLikeMailing""": """Y""", """tournamentRewardingMailing""": """Y""", """tournamentListMailing""": [], """persomanNumberVisible""": [],  """persomanNumberHidden""": [], """gosbVisible""": [], """gosbHidden""": [], """tbVisible""": [], """tbHidden""": [], """businessBlock""": ["""KMKKSB"""], """typeRewarding""": """one"""};шт.;Страхование;Залоги;EMPLOYEE;CRITERION;INTEGRAL;FACT;PRESET_VALUE;;1;>=;[];ПРОМ;7;1;["""KMKKSB"""]
01_2025-0_10-1_1;Индия накопи 100;2025-01-01;4000-01-01;АКТИВНЫЙ;ИНДИВИДУАЛЬНЫЙ НАКОПИТЕЛЬНЫЙ;описание;{"""feature""": [], """vid""": """ПРОМ""", """momentRewarding""": """DURIN""", """minNumber""": 1, """capacity""": """THOUSANDS""", """accuracy""": 0, """masking""": """N""", """tournamentStartMailing""": """N""", """tournamentEndMailing""": """N""", """tournamentLikeMailing""": """Y""", """tournamentRewardingMailing""": """Y""", """tournamentListMailing""": [], """persomanNumberVisible""": [],  """persomanNumberHidden""": [], """gosbVisible""": [], """gosbHidden""": [], """tbVisible""": [], """tbHidden""": [], """businessBlock""": ["""KMKKSB"""], """typeRewarding""": """one"""};Комиссия, тыс. руб.;ВЭД, нац рынки, хедж;Индия;EMPLOYEE;CRITERION;INTEGRAL;FACT;PRESET_VALUE;;100000;>=;[];ПРОМ;10;0;["""KMKKSB"""]
01_2025-0_10-1_2;Индия накопи 500;2025-01-01;4000-01-01;АКТИВНЫЙ;ИНДИВИДУАЛЬНЫЙ НАКОПИТЕЛЬНЫЙ;описание;{"""feature""": [], """vid""": """ПРОМ""", """momentRewarding""": """DURIN""", """minNumber""": 1, """capacity""": """THOUSANDS""", """accuracy""": 0, """masking""": """N""", """tournamentStartMailing""": """N""", """tournamentEndMailing""": """N""", """tournamentLikeMailing""": """Y""", """tournamentRewardingMailing""": """Y""", """tournamentListMailing""": [], """persomanNumberVisible""": [],  """persomanNumberHidden""": [], """gosbVisible""": [], """gosbHidden""": [], """tbVisible""": [], """tbHidden""": [], """businessBlock""": ["""KMKKSB"""], """typeRewarding""": """one"""};Комиссия, тыс. руб.;ВЭД, нац рынки, хедж;Индия;EMPLOYEE;CRITERION;INTEGRAL;FACT;PRESET_VALUE;;500000;>=;[];ПРОМ;10;0;["""KMKKSB"""]
01_2025-0_10-1_3;Индия накопи 3000;2025-01-01;4000-01-01;АКТИВНЫЙ;ИНДИВИДУАЛЬНЫЙ НАКОПИТЕЛЬНЫЙ;описание;{"""feature""": [], """vid""": """ПРОМ""", """momentRewarding""": """DURIN""", """minNumber""": 1, """capacity""": """THOUSANDS""", """accuracy""": 0, """masking""": """N""", """tournamentStartMailing""": """N""", """tournamentEndMailing""": """N""", """tournamentLikeMailing""": """Y""", """tournamentRewardingMailing""": """Y""", """tournamentListMailing""": [], """persomanNumberVisible""": [],  """persomanNumberHidden""": [], """gosbVisible""": [], """gosbHidden""": [], """tbVisible""": [], """tbHidden""": [], """businessBlock""": ["""KMKKSB"""], """typeRewarding""": """one"""};Комиссия, тыс. руб.;ВЭД, нац рынки, хедж;Индия;EMPLOYEE;CRITERION;INTEGRAL;FACT;PRESET_VALUE;;3000000;>=;[];ПРОМ;10;0;["""KMKKSB"""]
01_2025-0_10-1_4;Индия накопи 10000;2025-01-01;4000-01-01;АКТИВНЫЙ;ИНДИВИДУАЛЬНЫЙ НАКОПИТЕЛЬНЫЙ;описание;{"""feature""": [], """vid""": """ПРОМ""", """momentRewarding""": """DURIN""", """minNumber""": 1, """capacity""": """THOUSANDS""", """accuracy""": 0, """masking""": """N""", """tournamentStartMailing""": """N""", """tournamentEndMailing""": """N""", """tournamentLikeMailing""": """Y""", """tournamentRewardingMailing""": """Y""", """tournamentListMailing""": [], """persomanNumberVisible""": [],  """persomanNumberHidden""": [], """gosbVisible""": [], """gosbHidden""": [], """tbVisible""": [], """tbHidden""": [], """businessBlock""": ["""KMKKSB"""], """typeRewarding""": """one"""};Комиссия, тыс. руб.;ВЭД, нац рынки, хедж;Индия;EMPLOYEE;CRITERION;INTEGRAL;FACT;PRESET_VALUE;;10000000;>=;[];ПРОМ;10;0;["""KMKKSB"""]
01_2025-2_10-1_6;Индия. Привлекаем депозиты в рупиях;2025-01-01;4000-01-01;АКТИВНЫЙ;ТУРНИРНЫЙ;Чтобы стать участником, размести депозит в рупиях на сумму от 10 млн рупий на срок не менее 10 дней. Лучшие ТОП-3 участника по сумме таких депозитов станут победителями турнира и обладателями соответствующих наград: бронза, серебро и золото.;{"""feature""": ["""Информация обновляется 1 раз в 2 недели по данными MIS"""], """preferences""": [], """vid""": """ПРОМ""", """momentRewarding""": """AFTER""", """minNumber""": 2, """capacity""": """MILLIONS""", """accuracy""": 2, """masking""": """N""", """tournamentStartMailing""": """N""", """tournamentEndMailing""": """N""", """tournamentLikeMailing""": """N""", """tournamentRewardingMailing""": """N""", """tournamentListMailing""": [], """persomanNumberVisible""": [],  """persomanNumberHidden""": [], """gosbVisible""": [], """gosbHidden""": [], """tbVisible""": [], """tbHidden""": [], """businessBlock""": ["""KMKKSB"""], """typeRewarding""": """one""", """tournamentTeam""":"""N"""};Сумма, млн руб.;ВЭД, нац рынки, хедж;Индия;EMPLOYEE;RATING_MAX;INTEGRAL;FACT;PRESET_VALUE;;0;>;[];ПРОМ;7;0;["""KMKKSB"""]
01_2025-0_10-3_1;Бизнес девелопмент 1 договор;2025-01-01;4000-01-01;АКТИВНЫЙ;ИНДИВИДУАЛЬНЫЙ НАКОПИТЕЛЬНЫЙ;Заключи договор на предоставление услуги по поиску контрагента в Индии - Business Develpment и получи награду.;{"""feature""": ["""Учёт договоров ведется с начала 2025 года""", """Бейдж выдается за каждый заключенный договор"""], """vid""": """ПРОМ""", """momentRewarding""": """DURIN""", """minNumber""": 1, """capacity""": """THOUSANDS""", """accuracy""": 0, """masking""": """N""", """tournamentStartMailing""": """N""", """tournamentEndMailing""": """N""", """tournamentLikeMailing""": """Y""", """tournamentRewardingMailing""": """Y""", """tournamentListMailing""": [], """persomanNumberVisible""": [],  """persomanNumberHidden""": [], """gosbVisible""": [], """gosbHidden""": [], """tbVisible""": [], """tbHidden""": [], """businessBlock""": ["""KMKKSB"""], """typeRewarding""": """one"""};Договора, шт.;ВЭД, нац рынки, хедж;Бизнес девелопмент;EMPLOYEE;CRITERION;INTEGRAL;FACT;PRESET_VALUE;;1;>=;[];ПРОМ;10;1;["""KMKKSB"""]
