CONTEST_CODE;INDICATOR_CALC_TYPE;INDICATOR_ADD_CALC_TYPE;FULL_NAME;INDICATOR_CODE;INDICATOR_AGG_FUNCTION;INDICATOR_WEIGHT;INDICATOR_OBJECT;INDICATOR_MARK_TYPE;INDICATOR_MATCH;INDICATOR_VALUE;CONTEST_CRITERION;INDICATOR_FILTER;CONTESTANT_SELECTION;CALC_TYPE;N
01_2025-0_08-2_3;1;;WAIT;WAIT;;;;CRITERION;>=;500000;;;;1;1
01_2025-0_08-2_4;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;2
01_2025-0_08-2_5;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;3
01_2025-0_08-6_1;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;4
01_2025-0_10-1_1;1;;INCOME;INCOME;SUM;1;;CRITERION;>=;100000;;;;0;5
01_2025-0_10-1_2;1;;INCOME;INCOME;SUM;1;;CRITERION;>=;500000;;;;0;6
01_2025-0_10-1_3;1;;INCOME;INCOME;SUM;1;;CRITERION;>=;3000000;;;;0;7
01_2025-0_10-1_4;1;;INCOME;INCOME;SUM;1;;CRITERION;>=;10000000;;;;0;8
01_2025-0_10-3_1;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;10
01_2025-0_10-3_2;1;;WAIT;WAIT;;;;CRITERION;>=;5;;;;1;11
01_2025-0_10-3_3;1;;WAIT;WAIT;;;;CRITERION;>=;10;;;;1;12
01_2025-0_10-5_1;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;13
01_2025-0_10-5_2;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;14
01_2025-0_10-5_3;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;15
01_2025-0_10-5_4;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;16
01_2025-0_10-5_5;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;17
01_2025-0_10-5_6;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;18
01_2025-0_10-5_7;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;19
01_2025-0_10-5_8;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;20
01_2025-0_10-5_9;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;21
01_2025-0_12-1_1;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;22
01_2025-0_13-1_1;1;;PFIMIS_CUSTOMER_ID;PFIMIS_CUSTOMER_ID;COUNT_DISTINCT;1;;CRITERION;>=;1;;"[{"""filtered_attribute_code""":"""segment""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""20201""","""10100""","""20202""","""20605"""]},{"""filtered_attribute_code""":"""tb""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""NOT_IN""","""filtered_attribute_condition""":["""99"""]},{"""filtered_attribute_code""":"""is_manual_correct""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""0"""]},{"""filtered_attribute_code""":"""is_cva_product""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""0"""]},{"""filtered_attribute_code""":"""product_group""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""1""","""2""","""14""","""8"""]}]";;0;23
01_2025-0_13-1_2;1;;PFIMIS_CUSTOMER_ID;PFIMIS_CUSTOMER_ID;COUNT_DISTINCT;1;;CRITERION;>=;3;;"[{"""filtered_attribute_code""":"""segment""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""20201""","""10100""","""20202""","""20605"""]},{"""filtered_attribute_code""":"""tb""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""NOT_IN""","""filtered_attribute_condition""":["""99"""]},{"""filtered_attribute_code""":"""is_manual_correct""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""0"""]},{"""filtered_attribute_code""":"""is_cva_product""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""0"""]},{"""filtered_attribute_code""":"""product_group""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""1""","""2""","""14""","""8"""]}]";;0;24
01_2025-0_13-1_3;1;;PFIMIS_CUSTOMER_ID;PFIMIS_CUSTOMER_ID;COUNT_DISTINCT;1;;CRITERION;>=;10;;"[{"""filtered_attribute_code""":"""segment""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""20201""","""10100""","""20202""","""20605"""]},{"""filtered_attribute_code""":"""tb""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""NOT_IN""","""filtered_attribute_condition""":["""99"""]},{"""filtered_attribute_code""":"""is_manual_correct""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""0"""]},{"""filtered_attribute_code""":"""is_cva_product""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""0"""]},{"""filtered_attribute_code""":"""product_group""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""1""","""2""","""14""","""8"""]}]";;0;25
01_2025-0_13-1_4;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;26
01_2025-0_13-1_5;1;;WAIT;WAIT;;;;CRITERION;>=;3;;;;1;27
01_2025-0_13-1_6;1;;WAIT;WAIT;;;;CRITERION;>=;10;;;;1;28
01_2025-0_18-7_1;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;29
01_2025-0_18-7_2;1;;WAIT;WAIT;;;;CRITERION;>=;3;;;;1;30
01_2025-0_18-7_3;1;;WAIT;WAIT;;;;CRITERION;>=;5;;;;1;31
01_2025-0_18-7_4;1;;WAIT;WAIT;;;;CRITERION;>=;10;;;;1;32
01_2025-0_18-7_5;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;33
01_2025-1_01-6;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;34
01_2025-1_01-7_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;35
01_2025-1_02-1_1;1;;PULMIS_BALANCE_OUT_RUB;PULMIS_BALANCE_OUT_RUB;SUM;1;;RATING;MAX;;;"[{"""filtered_attribute_code""":"""segment_mk""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""10100""","""20201""","""20202""","""20605"""]}]";;1;36
01_2025-1_02-1_2;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;37
01_2025-1_02-2_2;1;;PULMIS_BALANCE_OUT_RUB;PULMIS_BALANCE_OUT_RUB;SUM;1;;RATING;MAX;;;"[{"""filtered_attribute_code""":"""segment_mk""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""10100""","""20201""","""20202""","""20605"""]},{"""filtered_attribute_code""":"""coa_type_id""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""41102""","""41103""","""41104""","""41402""","""41403""","""41404""","""41405""","""41502""","""41503""","""41504""","""41505""","""41506""","""41602""","""41603""","""41604""","""41605""","""41702""","""41703""","""41704""","""41705""","""41802""","""41803""","""41804""","""41805""","""41806""","""41902""","""41903""","""41904""","""41905""","""41906""","""41907""","""42002""","""42003""","""42004""","""42005""","""42006""","""42007""","""42102""","""42103""","""42104""","""42105""","""42106""","""42107""","""42109""","""42110""","""42111""","""42112""","""42113""","""42114""","""42202""","""42203""","""42204""","""42205""","""42206""","""42207""","""42502""","""42503""","""42504""","""42505""","""42506""","""42507""","""42802""","""43207""","""43707""","""43806""","""43807""","""43907""","""47426""","""47440""","""47442""","""47445""","""47453""","""47459""","""47607"""]},{"""filtered_attribute_code""":"""ccy_code""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""RUR"""]},{"""filtered_attribute_code""":"""early_termination""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""0"""]},{"""filtered_attribute_code""":"""deposit_period""","""filtered_attribute_type""":"""DECIMAL (38,12)""","""filtered_attribute_match""":""">=""","""filtered_attribute_value""":31}]";;1;38
01_2025-1_02-3_1t;1;DIVIDER;PPO_ALL;PPO_ALL;SUM;1;;RATING;MAX;;;;1;0;39
01_2025-1_02-3_1t;1;NUMERATOR;PPO_IN;PPO_IN;SUM;1;;RATING;MAX;;;;1;0;40
01_2025-1_04-1_1;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;41
01_2025-1_05-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;42
01_2025-1_05-1_2t;1;;CC360_CLIENT_VOLUM_FOT_M;CC360_CLIENT_VOLUM_FOT_M;SUM;1;;RATING;MAX;;;;0;0;43
01_2025-1_07-5_1;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;44
01_2025-1_07-5_10;1;;WAIT;WAIT;;;;CRITERION;>=;2;;;;1;45
01_2025-1_07-5_2;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;46
01_2025-1_07-5_3;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;47
01_2025-1_07-5_5;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;48
01_2025-1_07-5_6;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;49
01_2025-1_07-5_7;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;50
01_2025-1_07-5_8;1;;WAIT;WAIT;;;;CRITERION;>=;2;;;;1;51
01_2025-1_07-5_9;1;;WAIT;WAIT;;;;CRITERION;>=;2;;;;1;52
01_2025-1_08-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;53
01_2025-1_09-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;54
01_2025-1_14-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;55
01_2025-1_15-1_2;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;56
01_2025-1_16-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;57
01_2025-1_17-2_1;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;58
01_2025-1_17-2_2;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;59
01_2025-1_17-2_3;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;60
01_2025-1_17-2_4;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;61
01_2025-2_01-7_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;62
01_2025-2_05-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;63
01_2025-2_07-2_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;64
01_2025-2_08-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;65
01_2025-2_08-2_6;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;66
01_2025-2_09-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;67
01_2025-2_10-1_6;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;68
01_2025-2_14-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;69
01_2025-2_15-1_2;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;70
01_2025-2_16-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;71
02_2025-1_07-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;72
02_2025-1_07-2_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;73
02_2025-1_07-5_1;1;;WAIT;WAIT;;;;CRITERION;>=;5000000;;;;1;74
02_2025-1_07-5_10;1;;WAIT;WAIT;;;;CRITERION;>=;2;;;;1;75
02_2025-1_07-5_2;1;;WAIT;WAIT;;;;CRITERION;>=;5000000;;;;1;76
02_2025-1_07-5_3;1;;WAIT;WAIT;;;;CRITERION;>=;500000;;;;1;77
02_2025-1_07-5_4;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;78
02_2025-1_07-5_5;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;79
02_2025-1_07-5_6;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;80
