TB_CODE;TB_FULL_NAME;TB_SHORT_NAME;GOSB_CODE;GOSB_NAME;GOSB_SHORT_NAME;CLUSTER_CODE;GROUPING_CODE;GOSB_CNT;GROUPING_CNT;ORG_UNIT_CODE
18;Байкальский банк;ББ;0;Аппарат территориального банка;Аппарат ББ;0;1;0;0;10016438
18;Байкальский банк;ББ;1802;Аппарат Байкальского Банка;ЦПКК ББ;1;1;7;7;10353225
18;Байкальский банк;ББ;8586;Иркутское ГОСБ;ГОСБ;1;1;27;27;10037967
18;Байкальский банк;ББ;8600;Читинское ГОСБ;ГОСБ;3;1;6;6;10016635
18;Байкальский банк;ББ;8601;Бурятское ГОСБ;ГОСБ;4;1;6;6;10016634
18;Байкальский банк;ББ;8603;Якутское ГОСБ;ГОСБ;2;1;7;7;10164582
42;Волго-Вятский банк;ВВБ;0;Аппарат территориального банка;Аппарат ВВБ;0;1;0;0;10037179
42;Волго-Вятский банк;ВВБ;4200;Аппарат Волго-Вятского банка;ЦПКК ВВБ;1;1;15;15;10299006
42;Волго-Вятский банк;ВВБ;6984;Пермское ГОСБ;ГОСБ;1;1;21;21;10266200
42;Волго-Вятский банк;ВВБ;8589;Мордовское ГОСБ;ГОСБ;4;1;6;6;10016725
42;Волго-Вятский банк;ВВБ;8610;Банк Татарстан ГОСБ;ГОСБ;1;1;31;31;10016633
42;Волго-Вятский банк;ВВБ;8611;Владимирское ГОСБ;ГОСБ;3;1;10;10;10083411
42;Волго-Вятский банк;ВВБ;8612;Кировское ГОСБ;ГОСБ;3;1;10;10;10016640
42;Волго-Вятский банк;ВВБ;8613;Чувашское ГОСБ;ГОСБ;4;1;8;8;10016645
42;Волго-Вятский банк;ВВБ;8614;Марий Эл ГОСБ;ГОСБ;5;1;4;20;10016423
42;Волго-Вятский банк;ВВБ;8618;Удмуртское ГОСБ;ГОСБ;2;1;9;9;10267152
42;Волго-Вятский банк;ВВБ;9042;ГО по Нижегородской области;ГОСБ;1;1;30;30;10039796
70;Дальневосточный банк;ДВБ;0;Аппарат территориального банка;Аппарат ДВБ;0;1;0;0;10016449
70;Дальневосточный банк;ДВБ;4157;Биробиджанское ГОСБ;ГОСБ;5;1;1;20;10038415
70;Дальневосточный банк;ДВБ;7000;Аппарат Дальневосточного банка;ЦПКК ДВБ;1;1;8;8;10296390
70;Дальневосточный банк;ДВБ;8556;Камчатское ГОСБ;ГОСБ;4;1;5;5;10162314
70;Дальневосточный банк;ДВБ;8557;Чукотское ГОСБ;ГОСБ;5;1;1;20;10214308
70;Дальневосточный банк;ДВБ;8567;Южно-Сахалинское ГОСБ;ГОСБ;3;1;8;8;10035960
70;Дальневосточный банк;ДВБ;8635;Приморское ГОСБ;ГОСБ;1;1;21;21;10123013
