RULE_NUM;ROLE_CODE;ROLE_NAME;PERSON_NUMBER_ARR;STAGE_ETALONE_CODE_ARR;POST_ETALONE_CODE_ARR;DIV_CODE_ARR;EXCLUDE_DIV_CODE_ARR;BUSINESS_BLOCK;UCH_CODE;ORG_UNIT_CODE;TB_CODE;GOSB_CODE
102131001;KM_KKSB;Клиентский менеджер ККСБ (Аппарат ЦЧБ);;;[20000726, 20000727, 20000195];[10293924];;KMKKSB;1;10293924;;
102161001;KM_KKSB;Клиентский менеджер ККСБ (Аппарат УБ);;;[20000726, 20000727, 20000195];[10293489];;KMKKSB;1;10293489;;
102181001;KM_KKSB;Клиентский менеджер ККСБ (Аппарат ББ);;;[20000726, 20000727, 20000195];[10353225];;KMKKSB;1;10353225;;
102381381;KM_KKSB;Клиентский менеджер ККСБ (Управление инфраструктуры МБ);;;[20000726, 20000727, 20000195];[10242114];;KMKKSB;1;10242114;;
102381382;KM_KKSB;Клиентский менеджер ККСБ (Управление промышленности МБ);;;[20000726, 20000727, 20000195];[10242078];;KMKKSB;1;10242078;;
102381383;KM_KKSB;Клиентский менеджер ККСБ (Управление сферы недвижимости МБ);;;[20000726, 20000727, 20000195];[10240714];;KMKKSB;1;10240714;;
102381384;KM_KKSB;Клиентский менеджер ККСБ (Управление сферы услуг МБ);;;[20000726, 20000727, 20000195];[10241967];;KMKKSB;1;10241967;;
102381385;KM_KKSB;Клиентский менеджер ККСБ (Управление торговли МБ);;;[20000726, 20000727, 20000195];[10241463];;KMKKSB;1;10241463;;
102381386;KM_KKSB;Клиентский менеджер ККСБ (Управление транспорта МБ);;;[20000726, 20000727, 20000195];[10241962];;KMKKSB;1;10241962;;
102401001;KM_KKSB;Клиентский менеджер ККСБ (Аппарат СРБ);;;[20000726, 20000727, 20000195];[10290247];;KMKKSB;1;10290247;;
102421001;KM_KKSB;Клиентский менеджер ККСБ (Аппарат ВВБ);;;[20000726, 20000727, 20000195];[10299006];;KMKKSB;1;10299006;;
102441001;KM_KKSB;Клиентский менеджер ККСБ (Аппарат СИБ);;;[20000726, 20000727, 20000195];[10295911];;KMKKSB;1;10295911;;
102521001;KM_KKSB;Клиентский менеджер ККСБ (Аппарат ЮЗБ);;;[20000726, 20000727, 20000195];[10295859];;KMKKSB;1;10295859;;
102521002;KM_KKSB;Клиентский менеджер ККСБ (ГО Крым ЮЗБ);;;[20000726, 20000727, 20000195];[10361334, 10361333];;KMKKSB;1;10337151;;
102541001;KM_KKSB;Клиентский менеджер ККСБ (Аппарат ПБ);;;[20000726, 20000727, 20000195];[10295424];;KMKKSB;1;10295424;;
102551001;KM_KKSB;Клиентский менеджер ККСБ (Аппарат СЗБ);;;[20000726, 20000727, 20000195];[10298976];;KMKKSB;1;10298976;;
102551002;KM_KKSB;Клиентский менеджер ККСБ (ГО СПБ СЗБ);;;[20000726, 20000727, 20000195];[10295756, 10295995, 10296614];;KMKKSB;1;10086553;;
102551003;KM_KKSB;Клиентский менеджер ККСБ (ГО Ленинградской обл. СЗБ);;;[20000726, 20000727, 20000195];[10296607];;KMKKSB;1;10086573;;
102701001;KM_KKSB;Клиентский менеджер ККСБ (Аппарат ДВБ);;;[20000726, 20000727, 20000195];[10296390];;KMKKSB;1;10296390;;
