CONTEST_CODE;GROUP_CODE;GROUP_VALUE;GET_CALC_METHOD;GET_CALC_CRITERION;ADD_CALC_CRITERION;ADD_CALC_CRITERION_2;BASE_CALC_CODE
01_2025-0_01-9_1;BANK;*;3;;;;
01_2025-0_01-9_2;BANK;*;3;;;;
01_2025-0_01-9_3;BANK;*;3;;;;
01_2025-0_08-2_3;BANK;*;3;;;;
01_2025-0_08-2_4;TB;*;2;3;0;0;TB
01_2025-0_08-2_5;TB;*;2;3;0;0;TB
01_2025-0_08-6_1;BANK;*;3;;;;
01_2025-0_10-1_1;BANK;*;3;;;;
01_2025-0_10-1_2;BANK;*;3;;;;
01_2025-0_10-1_3;BANK;*;3;;;;
01_2025-0_10-1_4;BANK;*;3;;;;
01_2025-0_10-3_1;BANK;*;3;;;;
01_2025-0_10-3_2;BANK;*;3;;;;
01_2025-0_10-3_3;BANK;*;3;;;;
01_2025-0_10-5_1;GROUPING;*;2;1;0;0;GROUPING
01_2025-0_10-5_2;GROUPING;*;2;1;0;0;GROUPING
01_2025-0_10-5_3;GROUPING;*;2;1;0;0;GROUPING
01_2025-0_10-5_4;GROUPING;*;2;1;0;0;GROUPING
01_2025-0_10-5_5;GROUPING;*;2;1;0;0;GROUPING
01_2025-0_10-5_6;GROUPING;*;2;1;0;0;GROUPING
01_2025-0_10-5_7;GROUPING;*;2;1;0;0;GROUPING
01_2025-0_10-5_8;GROUPING;*;2;1;0;0;GROUPING
01_2025-0_10-5_9;GROUPING;*;2;1;0;0;GROUPING
01_2025-0_12-1_1;BANK;*;3;;;;
01_2025-0_13-1_1;BANK;*;3;;;;
01_2025-0_13-1_2;BANK;*;3;;;;
01_2025-0_13-1_3;BANK;*;3;;;;
01_2025-0_13-1_4;BANK;*;3;;;;
01_2025-0_13-1_5;BANK;*;3;;;;
01_2025-0_13-1_6;BANK;*;3;;;;
01_2025-0_18-7_1;BANK;*;3;;;;
01_2025-0_18-7_2;BANK;*;3;;;;
01_2025-0_18-7_3;BANK;*;3;;;;
01_2025-0_18-7_4;BANK;*;3;;;;
01_2025-0_18-7_5;BANK;*;2;1;0;0;BANK
01_2025-0_18-7_5;TB;*;2;0;1;0;TB
01_2025-1_00-1;BANK;*;3;;;;
01_2025-1_01-6;BANK;*;3;;;;
01_2025-1_01-7_1;BANK;*;2;1;1;1;BANK
01_2025-1_02-1_1;BANK;*;2;5;5;0;BANK
01_2025-1_02-1_1;TB;*;1;0;0;0.10000;TB
01_2025-1_02-1_2;TB;*;1;0;0.20000;0;TB
01_2025-1_02-2_2;BANK;*;2;5;5;0;BANK
01_2025-1_02-2_2;TB;*;2;0;0;5;TB
01_2025-1_02-3_1t;BANK;*;2;3;0;0;BANK
01_2025-1_02-3_1t;GOSB;*;1;0;0;0.10000;GOSB
01_2025-1_02-3_1t;TB;*;2;0;3;0;TB
01_2025-1_04-1_1;BANK;*;2;10;0;0;BANK
