TB_CODE;TB_FULL_NAME;TB_SHORT_NAME;GOSB_CODE;GOSB_NAME;GOSB_SHORT_NAME;CLUSTER_CODE;GROUPING_CODE;GOSB_CNT;GROUPING_CNT;ORG_UNIT_CODE
101;Сбер Факторинг;Сбер Факторинг;0;;Подразделение;0;0;0;0;110000001
102;Сбербанк Лизинг;Сбербанк Лизинг;0;;Подразделение;0;0;0;0;800004668
100;Подразделения центрального подчинения;ПЦП;0;;ПЦП;0;0;0;0;10110907
13;Центрально-Черноземный банк;ЦЧБ;0;Аппарат территориального банка;Аппарат ЦЧБ;1;0;0;0;10016678
13;Центрально-Черноземный банк;ЦЧБ;1300;Аппарат Центрально-Черноземного банка;ЦПКК ЦЧБ;1;1300;12;12;10293924
13;Центрально-Черноземный банк;ЦЧБ;8592;Белгородское ГОСБ;ГОСБ;2;8592;21;21;10016696
13;Центрально-Черноземный банк;ЦЧБ;9013;ГО по Воронежской области;ГОСБ;1;9013;36;36;10016705
13;Центрально-Черноземный банк;ЦЧБ;9014;ГО по Луганской Народной Республике;ГОСБ;1;9014;36;36;10354601
13;Центрально-Черноземный банк;ЦЧБ;8594;Тамбовское ГОСБ;ГОСБ;4;8594;8;8;10016698
13;Центрально-Черноземный банк;ЦЧБ;8595;Орловское ГОСБ;ГОСБ;4;8595;7;7;10113562
13;Центрально-Черноземный банк;ЦЧБ;8596;Курское ГОСБ;ГОСБ;4;8596;9;9;10016699
13;Центрально-Черноземный банк;ЦЧБ;8593;Липецкое ГОСБ;ГОСБ;3;8593;10;10;10016695
16;Уральский банк;УБ;0;Аппарат территориального банка;Аппарат УБ;1;0;0;0;10016445
16;Уральский банк;УБ;9016;Аппарат Уральского банка;ЦПКК УБ;1;9016;24;24;10293489
16;Уральский банк;УБ;8598;Башкирское ГОСБ;ГОСБ;1;8598;21;21;10016718
16;Уральский банк;УБ;8647;Западно-Сибирское ГОСБ;ГОСБ;2;8647;19;19;10295881
16;Уральский банк;УБ;8599;Курганское ГОСБ;ГОСБ;4;8599;5;5;10016723
16;Уральский банк;УБ;7003;Свердловское ГОСБ;ГОСБ;1;7003;43;43;10087096
16;Уральский банк;УБ;8597;Челябинское ГОСБ;ГОСБ;1;8597;23;23;10016641
16;Уральский банк;УБ;5940;Югорское отделение ;ГОСБ;1;5940;16;16;10297711
16;Уральский банк;УБ;8369;Ямало-Ненецкое отделение ;ГОСБ;3;8369;4;4;10297513
18;Байкальский банк;ББ;0;Аппарат территориального банка;Аппарат ББ;1;0;0;0;10016438
18;Байкальский банк;ББ;1802;Аппарат Байкальского Банка;ЦПКК ББ;1;1802;7;7;10353225
18;Байкальский банк;ББ;8601;Бурятское ГОСБ;ГОСБ;4;8601;6;6;10016634
18;Байкальский банк;ББ;8586;Иркутское ГОСБ;ГОСБ;1;8586;27;27;10037967
18;Байкальский банк;ББ;8600;Читинское ГОСБ;ГОСБ;3;8600;6;6;10016635
18;Байкальский банк;ББ;8603;Якутское ГОСБ;ГОСБ;2;8603;7;7;10164582
38;Московский банк;МБ;0;Аппарат территориального банка;Аппарат МБ;1;0;0;0;10000367
38;Московский банк;МБ;9038;Отделение Московского банка;РБ Аппарата МБ;1;9038;0;0;10156582
38;Московский банк;МБ;90381;Управление МБ по работе с предприятиями инфраструктуры;Управление инфр..ры;1;90381;22;22;10242114
38;Московский банк;МБ;90382;Управление МБ по работе с предприятиями промышленности;Управление пром..ти;1;90382;33;33;10242078
38;Московский банк;МБ;90383;Управление МБ по работе с предприятиями сферы недвижимости;Управление недв..ти;1;90383;43;43;10240714
38;Московский банк;МБ;90384;Управление МБ по работе с предприятиями сферы услуг;Управление услуг;1;90384;29;29;10241967
38;Московский банк;МБ;90385;Управление МБ по работе с предприятиями торговли;Управление торговли;1;90385;64;64;10241463
38;Московский банк;МБ;90386;Управление МБ по работе с предприятиями транспорта;Управление тран..та;1;90386;26;26;10241962
40;Среднерусский банк;СРБ;3000;Аппарат Среднерусского банка;ЦПКК СРБ;1;3000;18;18;10290247
40;Среднерусский банк;СРБ;9040;Отделение Среднерусского банка;РБ Аппарата СРБ;1;9040;0;0;10300825
40;Среднерусский банк;СРБ;1023;Восточное ГОСБ;ГОСБ;1;1023;22;22;10182580
40;Среднерусский банк;СРБ;1025;Западное ГОСБ;ГОСБ;1;1025;29;29;10182582
40;Среднерусский банк;СРБ;8608;Калужское ГОСБ;ГОСБ;3;8608;12;12;10016629
40;Среднерусский банк;СРБ;8605;Брянское ГОСБ;ГОСБ;4;8605;9;9;10016647
40;Среднерусский банк;СРБ;8609;Смоленское ГОСБ;ГОСБ;4;8609;10;10;10016649
40;Среднерусский банк;СРБ;8606;Рязанское ГОСБ;ГОСБ;3;8606;10;10;10016648
40;Среднерусский банк;СРБ;1026;Северное ГОСБ;ГОСБ;1;1026;24;24;10182583
