REWARD_CODE;REWARD_TYPE;FULL_NAME;REWARD_DESCRIPTION;REWARD_CONDITION;REWARD_COST;REWARD_ADD_DATA
ITEM_01;ITEM;Очное обучение в Корпоративном университете Сбера;Уникальная возможность пройти очное обучение в СберУниверситете — прокачать личные и профессиональные компетенции в окружении успешных руководителей. Стоимость обучения и проживание в кампусе на весь период программы входят в стоимость курса. Перечень доступных программ будет определн в первом квартале 2025 года. \\nНельзя забронировать совместно со стажировкой с победителями Лиги Чемпионов и Суперкубка 2025, а также с Обедом с лидерами ЦА. ;1;0;{"""feature""": ["""Можно выбрать 1 обучение в год""", """Срок зачисления на курс составляет от трёх месяцев до года""", """После зачисления вся информация о программе появится в «Пульсе» в разделе «Развитие»""", """Необходимо согласовать отсутствие на период обучения с непосредственным руководителем""", """Дорога в Москву оплачивается за счёт командировочных расходов"""], """itemFeature""": ["""Можно выбрать 1 обучение в год""", """Срок зачисления на курс составляет от трёх месяцев до года""", """После зачисления вся информация о программе появится в «Пульсе» в разделе «Развитие»""", """Необходимо согласовать отсутствие на период обучения с непосредственным руководителем""", """Дорога в Москву оплачивается за счёт командировочных расходов"""], """nftFlg""": """N""", """outstanding""": """N""", """rewardRule""": """Команда проекта свяжется с Вами в течение первого квартала 2025 года по рабочей почте для подтверждения бронирования и расскажет о дальнейших шагах.""", """rewardAgainGlobal""": """N""", """rewardAgainTournament""": """N""", """hidden""":"""N""", """fileName""": """""", """teamNews""": """""", """singleNews""": """""", """refreshOldNews""": """N""", """businessBlock""": ["""KMKKSB"""], """getCondition""": {"""rewards""":[], """nonRewards""": [ {"""nonRewardCode""": """ITEM_02"""}, {"""nonRewardCode""": """ITEM_03"""}], """employeeRating""": {"""minRatingBANK""": """10""", """minRatingTB""": """""", """minRatingGOSB""": """""", """minCrystalEarnedTotal""": """""", """seasonCode""": """SEASON_2024"""}}, """itemGroupAmount""": [],  """isGroupingTitle""": """""",  """isGroupingTultip""": """""", """itemAmount""": """10""", """isGrouping""": """N""", """isGroupingName""": """очная стажировка""", """itemMinShow""": """4""", """itemLimitCount""": """1""", """itemLimitPeriod""": """once""", """seasonItem""": ["""SEASON_2024"""], """bookingRequired""": """Y""", """deliveryRequired""": """Y""", """commingSoon""": """N""", """ignoreConditions""": []}
ITEM_02;ITEM;Участие в программе стажировки вместе с победителями Лиги Чемпионов и Суперкубка;Участие в стажировке для личного и профессионального развития вместе с победителями Лиги Чемпионов и Суперкубка. Вы сможете пообщаться с лидерами КИБа, познакомиться и обменяться опытом с коллегами со всей России. Стажировка пройдёт в Москве во 2-м полугодии 2025 года (1-2 дня на усмотрение организатора). \\nНельзя забронировать совместно с очным обучением в Корпоративном университете СберБанка и с обедом с лидерами ЦА.;1;0;{"""feature""": ["""Доступно всего 5 мест на стажировку""", """Необходимо согласовать отсутствие на период стажировки с непосредственным руководителем""", """Дорога в Москву и проживание оплачивается за счёт командировочных расходов""", """Основание для участие и оформление командировки — вызов от ЦА"""], """itemFeature""": ["""Доступно всего 5 мест на стажировку""", """Необходимо согласовать отсутствие на период стажировки с непосредственным руководителем""", """Дорога в Москву и проживание оплачивается за счёт командировочных расходов""", """Основание для участие и оформление командировки — вызов от ЦА"""], """nftFlg""": """N""", """outstanding""": """N""", """rewardRule""": """Команда проекта свяжется с Вами в течение первого квартала 2025 года по рабочей почте для подтверждения бронирования и расскажет о дальнейших шагах.""", """rewardAgainGlobal""": """N""", """rewardAgainTournament""": """N""", """hidden""":"""N""", """fileName""": """""", """teamNews""": """""", """singleNews""": """""", """refreshOldNews""": """N""", """businessBlock""": ["""KMKKSB"""], """getCondition""": {"""rewards""":[], """nonRewards""": [ {"""nonRewardCode""": """ITEM_01"""}, {"""nonRewardCode""": """ITEM_03"""}], """employeeRating""": {"""minRatingBANK""": """35""", """minRatingTB""": """""", """minRatingGOSB""": """""", """minCrystalEarnedTotal""": """""", """seasonCode""": """SEASON_2024"""}}, """itemGroupAmount""": [],  """isGroupingTitle""": """""",  """isGroupingTultip""": """""", """itemAmount""": """5""", """isGrouping""": """N""", """isGroupingName""": """очная стажировка""", """itemMinShow""": """4""", """itemLimitCount""": """1""", """itemLimitPeriod""": """once""", """seasonItem""": ["""SEASON_2024"""], """bookingRequired""": """Y""", """deliveryRequired""": """Y""", """commingSoon""": """N""", """ignoreConditions""": []}
ITEM_03;ITEM;Обед с лидерами ЦА;Эксклюзивная возможность принять участие в одном из 4-х ежегодных обедов с лидерами КИБа на площадке Центрального аппарата в Москве. Вы сможете лично пообщаться с руководством банка и обсудить возможности карьерного роста в приятной атмосфере. Лидеры поделятся экспертными знаниями и опытом. \\nНельзя забронировать совместно с очным обучением в Корпоративном университете Сбера и со стажировкой с победителями Лиги Чемпионов и Суперкубка 2025.;1;0;{"""feature""": ["""Точные даты обеда будут определены в 1-м квартале 2025 года""", """Не более 7 клиентских менеджеров на одном обеде""", """Обед оплачивается лидерами ЦА""",  """Дорога в Москву и проживание в гостинице оплачивается за счёт командировочных расходов""", """Необходимо согласовать отсутствие с непосредственным руководителем""", """Основание для участие и оформление командировки — вызов от ЦА"""], """itemFeature""": ["""Точные даты обеда будут определены в 1-м квартале 2025 года""", """Не более 7 клиентских менеджеров на одном обеде""", """Обед оплачивается лидерами ЦА""",  """Дорога в Москву и проживание в гостинице оплачивается за счёт командировочных расходов""", """Необходимо согласовать отсутствие с непосредственным руководителем""", """Основание для участие и оформление командировки — вызов от ЦА"""], """nftFlg""": """N""", """outstanding""": """N""", """rewardRule""": """Команда проекта свяжется с Вами в течение первого квартала 2025 года по рабочей почте для подтверждения бронирования и расскажет о дальнейших шагах.""", """rewardAgainGlobal""": """N""", """rewardAgainTournament""": """N""", """hidden""":"""N""", """fileName""": """""", """teamNews""": """""", """singleNews""": """""", """refreshOldNews""": """N""", """businessBlock""": ["""KMKKSB"""], """getCondition""": {"""rewards""":[], """nonRewards""": [ {"""nonRewardCode""": """ITEM_02"""}, {"""nonRewardCode""": """ITEM_01"""}], """employeeRating""": {"""minRatingBANK""": """35""", """minRatingTB""": """""", """minRatingGOSB""": """""", """minCrystalEarnedTotal""": """""", """seasonCode""": """SEASON_2024"""}}, """itemGroupAmount""": [],  """isGroupingTitle""": """""",  """isGroupingTultip""": """""", """itemAmount""": """14""", """isGrouping""": """N""", """isGroupingName""": """очная стажировка""", """itemMinShow""": """4""", """itemLimitCount""": """1""", """itemLimitPeriod""": """once""", """seasonItem""": ["""SEASON_2024"""], """bookingRequired""": """Y""", """deliveryRequired""": """Y""", """commingSoon""": """N""", """ignoreConditions""": []}
ITEM_04;ITEM;Сертификат в SberShop номиналом 30 000 рублей;Сертификат на 30 000 рублей для покупок в корпоративном магазине одежды, гаджетов и аксессуаров Сбера. Все товары из качественных материалов, отличаются оригинальным дизайном и ненавязчивым брендингом. \\nНельзя забронировать совместно с сертификатами других номиналов в SberShop.;1;0;{"""feature""": ["""Сертификат будет направлен Вам в течение первого квартала на рабочую почту""", """Согласно законодательству РФ не облагаются налогом подарки до 4 тыс. руб. С суммы превышения будет удержано 13% при расчёте зарплаты"""], """itemFeature""": ["""Сертификат будет направлен Вам в течение первого квартала на рабочую почту""", """Согласно законодательству РФ не облагаются налогом подарки до 4 тыс. руб. С суммы превышения будет удержано 13% при расчёте зарплаты"""], """nftFlg""": """N""", """outstanding""": """N""", """rewardRule""": """Сертификат будут направлены Вам в течение первого квартала на рабочую почту.""", """rewardAgainGlobal""": """N""", """rewardAgainTournament""": """N""", """hidden""":"""N""", """fileName""": """""", """teamNews""": """""", """singleNews""": """""", """refreshOldNews""": """N""", """businessBlock""": ["""KMKKSB"""], """getCondition""": {"""rewards""":[], """nonRewards""": [ {"""nonRewardCode""": """ITEM_05"""}, {"""nonRewardCode""": """ITEM_06"""}], """employeeRating""": {"""minRatingBANK""": """5""", """minRatingTB""": """""", """minRatingGOSB""": """""", """minCrystalEarnedTotal""": """""", """seasonCode""": """SEASON_2024"""}}, """itemGroupAmount""": [],  """isGroupingTitle""": """""",  """isGroupingTultip""": """""", """itemAmount""": """5""", """isGrouping""": """N""", """isGroupingName""": """SberShop""", """itemMinShow""": """4""", """itemLimitCount""": """1""", """itemLimitPeriod""": """once""", """seasonItem""": ["""SEASON_2024"""], """bookingRequired""": """Y""", """deliveryRequired""": """Y""", """commingSoon""": """N""", """ignoreConditions""": []}
ITEM_05;ITEM;Сертификат в SberShop номиналом 10 000 рублей;Сертификат на 10 000 рублей для покупок в корпоративном магазине одежды, гаджетов и аксессуаров Сбера. Все товары из качественных материалов, отличаются оригинальным дизайном и ненавязчивым брендингом. \\nНельзя забронировать совместно с сертификатами других номиналов в SberShop.;1;0;{"""feature""": ["""Сертификат будет направлен Вам в течение первого квартала на рабочую почту""", """Согласно законодательству РФ не облагаются налогом подарки до 4 тыс. руб. С суммы превышения будет удержано 13% при расчёте зарплаты"""], """itemFeature""": ["""Сертификат будет направлен Вам в течение первого квартала на рабочую почту""", """Согласно законодательству РФ не облагаются налогом подарки до 4 тыс. руб. С суммы превышения будет удержано 13% при расчёте зарплаты"""], """nftFlg""": """N""", """outstanding""": """N""", """rewardRule""": """Сертификат будет направлен Вам в течение первого квартала на рабочую почту.""", """rewardAgainGlobal""": """N""", """rewardAgainTournament""": """N""", """hidden""":"""N""", """fileName""": """""", """teamNews""": """""", """singleNews""": """""", """refreshOldNews""": """N""", """businessBlock""": ["""KMKKSB"""], """getCondition""": {"""rewards""":[], """nonRewards""": [ {"""nonRewardCode""": """ITEM_04"""}, {"""nonRewardCode""": """ITEM_06"""}], """employeeRating""": {"""minRatingBANK""": """15""", """minRatingTB""": """""", """minRatingGOSB""": """""", """minCrystalEarnedTotal""": """""", """seasonCode""": """SEASON_2024"""}}, """itemGroupAmount""": [],  """isGroupingTitle""": """""",  """isGroupingTultip""": """""", """itemAmount""": """10""", """isGrouping""": """N""", """isGroupingName""": """SberShop""", """itemMinShow""": """4""", """itemLimitCount""": """1""", """itemLimitPeriod""": """once""", """seasonItem""": ["""SEASON_2024"""], """bookingRequired""": """Y""", """deliveryRequired""": """Y""", """commingSoon""": """N""", """ignoreConditions""": []}
ITEM_06;ITEM;Сертификат в SberShop номиналом 3 000 рублей;Сертификат на 3 000 рублей для покупок в корпоративном магазине одежды, гаджетов и аксессуаров Сбера. Все товары из качественных материалов, отличаются оригинальным дизайном и ненавязчивым брендингом. \\nНельзя забронировать совместно с сертификатами других номиналов в SberShop.;1;0;{"""feature""": ["""Сертификат будет направлен Вам в течение первого квартала на рабочую почту""", """Согласно законодательству РФ не облагаются налогом подарки до 4 тыс. руб. С суммы превышения будет удержано 13% при расчёте зарплаты"""], """itemFeature""": ["""Сертификат будет направлен Вам в течение первого квартала на рабочую почту""", """Согласно законодательству РФ не облагаются налогом подарки до 4 тыс. руб. С суммы превышения будет удержано 13% при расчёте зарплаты"""], """nftFlg""": """N""", """outstanding""": """N""", """rewardRule""": """Сертификат будет направлен Вам в течение первого квартала на рабочую почту.""", """rewardAgainGlobal""": """N""", """rewardAgainTournament""": """N""", """hidden""":"""N""", """fileName""": """""", """teamNews""": """""", """singleNews""": """""", """refreshOldNews""": """N""", """businessBlock""": ["""KMKKSB"""], """getCondition""": {"""rewards""":[], """nonRewards""": [ {"""nonRewardCode""": """ITEM_04"""}, {"""nonRewardCode""": """ITEM_05"""}], """employeeRating""": {"""minRatingBANK""": """""", """minRatingTB""": """""", """minRatingGOSB""": """1""", """minCrystalEarnedTotal""": """""", """seasonCode""": """SEASON_2024"""}}, """itemGroupAmount""": [],  """isGroupingTitle""": """""",  """isGroupingTultip""": """""", """itemAmount""": """110""", """isGrouping""": """N""", """isGroupingName""": """SberShop""", """itemMinShow""": """4""", """itemLimitCount""": """1""", """itemLimitPeriod""": """once""", """seasonItem""": ["""SEASON_2024"""], """bookingRequired""": """Y""", """deliveryRequired""": """Y""", """commingSoon""": """N""", """ignoreConditions""": []}
ITEM_07;ITEM;Книга из библиотеки Старшего вице-президента Владимира Ситнова;Заряжайтесь на успех вместе с любимыми книгами топ-менеджмента Сбера! Издание с подписью Старшего вице-президента компании Владимира Ситнова.;1;0;{"""feature""": ["""Доступно всего 40 книг"""], """itemFeature""": ["""Доступно всего 40 книг"""], """nftFlg""": """N""", """outstanding""": """N""", """rewardRule""": """Книга будет направлена внутренней почтой к Вашему рабочему месту, указанному в справочнике, в течение первого квартала 2025 года.""", """rewardAgainGlobal""": """N""", """rewardAgainTournament""": """N""", """hidden""":"""N""", """fileName""": """""", """teamNews""": """""", """singleNews""": """""", """refreshOldNews""": """N""", """businessBlock""": ["""KMKKSB"""], """getCondition""": {"""rewards""":[], """nonRewards""": [], """employeeRating""": {"""minRatingBANK""": """50""", """minRatingTB""": """""", """minRatingGOSB""": """""", """minCrystalEarnedTotal""": """""", """seasonCode""": """SEASON_2024"""}}, """itemGroupAmount""": [],  """isGroupingTitle""": """""",  """isGroupingTultip""": """""", """itemAmount""": """40""", """isGrouping""": """N""", """isGroupingName""": """Книга от Ситнова ВВ""", """itemMinShow""": """10""", """itemLimitCount""": """1""", """itemLimitPeriod""": """once""", """seasonItem""": ["""SEASON_2024"""], """bookingRequired""": """Y""", """deliveryRequired""": """Y""", """commingSoon""": """N""", """ignoreConditions""": []}
ITEM_08;ITEM;Индивидуальная наставническая онлайн-сессия с Сергеем Меламедом;Возможность поговорить тет-а-тет с Сергеем Меламедом. Диалог пройдет в формате наставнической онлайн-сессии. Директор Департамента развития корпоративного бизнеса поделится экспертными знаниями и опытом, Вы сможете обсудить возможности своего карьерного роста.;1;0;{"""feature""": ["""Доступно всего 5 онлайн-сессий""", """Дата сессии будет определена в 1-м квартале"""], """itemFeature""": ["""Доступно всего 5 онлайн-сессий""", """Дата сессии будет определена в 1-м квартале"""], """nftFlg""": """N""", """outstanding""": """N""", """rewardRule""": """Команда проекта свяжется с Вами в течение первого квартала 2025 года по рабочей почте для подтверждения бронирования и расскажет о дальнейших шагах.""", """rewardAgainGlobal""": """N""", """rewardAgainTournament""": """N""", """hidden""":"""N""", """fileName""": """""", """teamNews""": """""", """singleNews""": """""", """refreshOldNews""": """N""", """businessBlock""": ["""KMKKSB"""], """getCondition""": {"""rewards""":[], """nonRewards""": [], """employeeRating""": {"""minRatingBANK""": """35""", """minRatingTB""": """""", """minRatingGOSB""": """""", """minCrystalEarnedTotal""": """""", """seasonCode""": """SEASON_2024"""}}, """itemGroupAmount""": [],  """isGroupingTitle""": """""",  """isGroupingTultip""": """""", """itemAmount""": """5""", """isGrouping""": """N""", """isGroupingName""": """Онлайн с Меламедом СВ""", """itemMinShow""": """4""", """itemLimitCount""": """1""", """itemLimitPeriod""": """once""", """seasonItem""": ["""SEASON_2024"""], """bookingRequired""": """Y""", """deliveryRequired""": """Y""", """commingSoon""": """N""", """ignoreConditions""": []}
ITEM_09;ITEM;Очное участие во Встрече лидеров в Москве;Возможность очно поучаствовать во встрече лидеров в Москве. Это ежемесячное собрание, на котором топ-менеджмент и Президент Банка обсуждают актуальные темы. После мероприятия будет возможность обсудить интересующие Вас вопросы с сотрудниками ДРКБ.;1;0;{"""feature""": ["""Встреча лидеров традиционно проводится в последний вторник месяца""", """Активность займёт один рабочий день""", """Дорога в Москву и проживание в гостинице оплачивается за счёт командировочных расходов""", """Необходимо согласовать отсутствие на период стажировки с непосредственным руководителем""", """Основание для участие и оформление командировки — вызов от ЦА"""], """itemFeature""": ["""Встреча лидеров традиционно проводится в последний вторник месяца""", """Активность займёт один рабочий день""", """Дорога в Москву и проживание в гостинице оплачивается за счёт командировочных расходов""", """Необходимо согласовать отсутствие на период стажировки с непосредственным руководителем""", """Основание для участие и оформление командировки — вызов от ЦА"""], """nftFlg""": """N""", """outstanding""": """N""", """rewardRule""": """Команда проекта свяжется с Вами в начале 2025 года по рабочей почте для подтверждения бронирования и расскажет о дальнейших шагах.""", """rewardAgainGlobal""": """N""", """rewardAgainTournament""": """N""", """hidden""":"""N""", """fileName""": """""", """teamNews""": """""", """singleNews""": """""", """refreshOldNews""": """N""", """businessBlock""": ["""KMKKSB"""], """getCondition""": {"""rewards""":[], """nonRewards""": [], """employeeRating""": {"""minRatingBANK""": """100""", """minRatingTB""": """""", """minRatingGOSB""": """""", """minCrystalEarnedTotal""": """""", """seasonCode""": """SEASON_2024"""}}, """itemGroupAmount""": [{"""itemParam""": """Январь""", """itemParamAmount""": """15"""}, {"""itemParam""": """Февраль""", """itemParamAmount""": """15"""}, {"""itemParam""": """Март""", """itemParamAmount""": """15"""}, {"""itemParam""": """Апрель""", """itemParamAmount""": """15"""}, {"""itemParam""": """Май""", """itemParamAmount""": """15"""}, {"""itemParam""": """Июнь""", """itemParamAmount""": """15"""}, {"""itemParam""": """Июль""", """itemParamAmount""": """15"""}], """isGroupingTitle""": """""",  """isGroupingTultip""": """""", """itemAmount""": """""", """isGrouping""": """Y""", """isGroupingName""": """встреча лидеров""", """itemMinShow""": """4""", """itemLimitCount""": """1""", """itemLimitPeriod""": """once""", """seasonItem""": ["""SEASON_2024"""], """bookingRequired""": """Y""", """deliveryRequired""": """Y""", """commingSoon""": """N""", """ignoreConditions""": []}
ITEM_10;ITEM;Колонка SberBoom Mini;Миниатюрная умная колонка с виртуальным ассистентом Салют! SberBoom Mini умеет включать любимые треки в объёмном звуке, следить за порядком с помощью детектора шума, запускать ассистента на базе искусственного интеллекта GigaChat и многое другое.;1;0;{"""feature""": [], """itemFeature""": [], """nftFlg""": """N""", """outstanding""": """N""", """rewardRule""": """Колонку пришлют по почте прямо к Вашему рабочему месту, указанному в справочнике до конца 2024 года.""", """rewardAgainGlobal""": """N""", """rewardAgainTournament""": """N""", """hidden""":"""N""", """fileName""": """""", """teamNews""": """""", """singleNews""": """""", """refreshOldNews""": """N""", """businessBlock""": ["""KMKKSB"""], """getCondition""": {"""rewards""":[{"""rewardCode""": """REWARD_31_01""","""amount""": "1"}], """nonRewards""": [], """employeeRating""": {"""minRatingBANK""": """""", """minRatingTB""": """""", """minRatingGOSB""": """""", """minCrystalEarnedTotal""": """10""", """seasonCode""": """SEASON_2024"""}}, """itemGroupAmount""": [],  """isGroupingTitle""": """""",  """isGroupingTultip""": """""", """itemAmount""": """103""", """isGrouping""": """N""", """isGroupingName""": """гаджет""", """itemMinShow""": """5""", """itemLimitCount""": """1""", """itemLimitPeriod""": """once""", """seasonItem""": [], """bookingRequired""": """Y""", """deliveryRequired""": """Y""", """commingSoon""": """N""", """ignoreConditions""": []}
