CONTEST_CODE;INDICATOR_CALC_TYPE;INDICATOR_ADD_CALC_TYPE;FULL_NAME;INDICATOR_CODE;INDICATOR_AGG_FUNCTION;INDICATOR_WEIGHT;INDICATOR_OBJECT;INDICATOR_MARK_TYPE;INDICATOR_MATCH;INDICATOR_VALUE;CONTEST_CRITERION;INDICATOR_FILTER;CONTESTANT_SELECTION;CALC_TYPE;N
CONTEST_50;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;1
CONTEST_51;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;2
CONTEST_52;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;3
CONTEST_55;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;5
CONTEST_91;1;;WAIT;WAIT;;;;RATING;MAX;1;;;;1;6
CONTEST_92;1;;WAIT;WAIT;;;;RATING;MAX;1;;;;1;7
CONTEST_93;1;;WAIT;WAIT;;;;RATING;MAX;1;;;;1;8
CONTEST_94;1;;WAIT;WAIT;;;;RATING;MAX;1;;;;1;9
CONTEST_95;1;;WAIT;WAIT;;;;RATING;MAX;1;;;;1;10
CONTEST_96;1;;WAIT;WAIT;;;;RATING;MAX;1;;;;1;11
CONTEST_19;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;12
CONTEST_69;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;13
CONTEST_64;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;14
CONTEST_63;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;15
CONTEST_62;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;16
CONTEST_68;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;17
CONTEST_30;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;18
CONTEST_29;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;20
CONTEST_38;1;;WAIT;WAIT;SUM;1;;RATING;MAX;;;;;1;21
CONTEST_40;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;22
CONTEST_08_01;1;;WD;WD;SUM;1;;RATING;MAX;;;;;0;27
CONTEST_34;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;29
CONTEST_32;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;30
CONTEST_31;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;31
CONTEST_47;1;;WAIT;WAIT;;;;CRITERION;>=;2;;;;1;32
CONTEST_45;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;33
CONTEST_44;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;34
CONTEST_46;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;35
CONTEST_33;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;36
CONTEST_01;1;;INCOME;INCOME;SUM;1;;CRITERION;>=;100000;;;;0;37
CONTEST_02;1;;INCOME;INCOME;SUM;1;;CRITERION;>=;500000;;;;0;38
CONTEST_03;1;;INCOME;INCOME;SUM;1;;CRITERION;>=;3000000;;;;0;39
CONTEST_04;1;;INCOME;INCOME;SUM;1;;CRITERION;>=;10000000;;;;0;40
CONTEST_05;1;;INCOME;INCOME;SUM;1;;GAIN;X2;;;;;0;41
CONTEST_06;1;;INCOME;INCOME;SUM;1;;GAIN;X3;;;;;0;42
CONTEST_07;1;;INCOME;INCOME;SUM;1;;GAIN;X4;;;;;0;43
CONTEST_20;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;44
CONTEST_35;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;45
CONTEST_39_01;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;46
CONTEST_39_02;1;;WAIT;WAIT;;;;CRITERION;>=;3;;;;1;47
CONTEST_39_03;1;;WAIT;WAIT;;;;CRITERION;>=;10;;;;1;48
CONTEST_28;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;49
CONTEST_10_01;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;50
CONTEST_42;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;53
CONTEST_41;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;54
CONTEST_26;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;55
CONTEST_25;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;56
CONTEST_36;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;57
CONTEST_37;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;58
CONTEST_43;1;;WAIT;WAIT;;;;CRITERION;>=;1000000000;;;;1;59
CONTEST_11;1;;WAIT;LEAGUEDEL;;;;CRITERION;=;1;;;;2;60
CONTEST_65;1;;WAIT;WAIT;SUM;1;;CRITERION;=;1;;;;1;61
CONTEST_12;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;62
CONTEST_66;1;;LEAGUE;LEAGUE;SUM;1;;CRITERION;=;1;;;;0;63
CONTEST_13;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;64
CONTEST_67;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;65
