TB_CODE;TB_FULL_NAME;TB_SHORT_NAME;GOSB_CODE;GOSB_NAME;GOSB_SHORT_NAME;CLUSTER_CODE;GROUPING_CODE;GOSB_CNT;GROUPING_CNT;DIV_LEVEL_1_CODE;MOTIV_GOSB_CODE
101;Сбер Факторинг;Сбер Факторинг;0;;Подразделение;0;0;0;0;;
102;Сбербанк Лизинг;Сбербанк Лизинг;0;;Подразделение;0;0;0;0;;
100;Сбер;Сбер;0;;ГОСБ;0;0;0;0;;
13;Центрально-Черноземный банк;ЦЧБ;0;Аппарат территориального банка;Аппарат ТБ;1;0;0;0;;
13;Центрально-Черноземный банк;ЦЧБ;1300;Аппарат Центрально-Черноземного банка;Аппарат ТБ;1;1300;12;12;;0000
13;Центрально-Черноземный банк;ЦЧБ;8592;Белгородское ГОСБ ;ГОСБ;2;8592;21;21;;
13;Центрально-Черноземный банк;ЦЧБ;9013;ГО по Воронежской области;ГОСБ;1;9013;36;36;;
13;Центрально-Черноземный банк;ЦЧБ;9014;ГО по Луганской Народной Республике;ГОСБ;1;9014;36;36;;
13;Центрально-Черноземный банк;ЦЧБ;8596;Курское ГОСБ ;ГОСБ;4;8596;9;9;;
13;Центрально-Черноземный банк;ЦЧБ;8593;Липецкое ГОСБ ;ГОСБ;3;8593;10;10;;
13;Центрально-Черноземный банк;ЦЧБ;8595;Орловское ГОСБ ;ГОСБ;4;8595;7;7;;
13;Центрально-Черноземный банк;ЦЧБ;8594;Тамбовское ГОСБ ;ГОСБ;4;8594;8;8;;
16;Уральский банк;УБ;0;Аппарат территориального банка;Аппарат ТБ;1;0;0;0;;
16;Уральский банк;УБ;9016;Аппарат Уральского банка;Аппарат ТБ;1;9016;24;24;;0000
16;Уральский банк;УБ;8598;Башкирское ГОСБ ;ГОСБ;1;8598;21;21;;
16;Уральский банк;УБ;8647;Западно-Сибирское ГОСБ ;ГОСБ;2;8647;19;19;;
16;Уральский банк;УБ;8599;Курганское ГОСБ ;ГОСБ;4;8599;5;5;;
16;Уральский банк;УБ;7003;Свердловское ГОСБ ;ГОСБ;1;7003;43;43;;
16;Уральский банк;УБ;8597;Челябинское ГОСБ ;ГОСБ;1;8597;23;23;;
16;Уральский банк;УБ;5940;Югорское отделение ;ГОСБ;1;5940;16;16;;
16;Уральский банк;УБ;8369;Ямало-Ненецкое отделение ;ГОСБ;3;8369;4;4;;
18;Байкальский банк;ББ;1802;Аппарат Байкальского Банка;Аппарат ТБ;1;1802;7;7;;0000
18;Байкальский банк;ББ;0;Аппарат территориального банка;Аппарат ТБ;1;0;0;0;;
18;Байкальский банк;ББ;8601;Бурятское ГОСБ ;ГОСБ;4;8601;6;6;;
18;Байкальский банк;ББ;8586;Иркутское ГОСБ ;ГОСБ;1;8586;27;27;;
18;Байкальский банк;ББ;8600;Читинское ГОСБ ;ГОСБ;3;8600;6;6;;
18;Байкальский банк;ББ;8603;Якутское ГОСБ ;ГОСБ;2;8603;7;7;;
38;Московский банк;МБ;0;Аппарат территориального банка;Аппарат ТБ;1;0;0;0;;
38;Московский банк;МБ;9038;Отделение Московского банка;ГОСБ;1;9038;;;;
38;Московский банк;МБ;90381;Управление МБ по работе с предприятиями инфраструктуры;Управление;1;90381;22;22;10242114;
38;Московский банк;МБ;90382;Управление МБ по работе с предприятиями промышленности;Управление;1;90382;33;33;10242078;
38;Московский банк;МБ;90383;Управление МБ по работе с предприятиями сферы недвижимости;Управление;1;90383;43;43;10240714;
38;Московский банк;МБ;90384;Управление МБ по работе с предприятиями сферы услуг;Управление;1;90384;29;29;10241967;
38;Московский банк;МБ;90385;Управление МБ по работе с предприятиями торговли;Управление;1;90385;64;64;10241463;
38;Московский банк;МБ;90386;Управление МБ по работе с предприятиями транспорта;Управление;1;90386;26;26;10241962;
40;Среднерусский банк;СРБ;3000;Аппарат Среднерусского банка;Аппарат ТБ;1;3000;18;18;;0000
40;Среднерусский банк;СРБ;9040;Отделение Среднерусского банка;ГОСБ;1;9040;0;0;;
40;Среднерусский банк;СРБ;0;Аппарат территориального банка;Аппарат ТБ;1;0;0;0;;
40;Среднерусский банк;СРБ;8605;Брянское ГОСБ ;ГОСБ;4;8605;9;9;;
40;Среднерусский банк;СРБ;1023;Восточное ГОСБ ;ГОСБ;1;1023;22;22;;
40;Среднерусский банк;СРБ;1025;Западное ГОСБ ;ГОСБ;1;1025;29;29;;
40;Среднерусский банк;СРБ;8639;Ивановское ГОСБ ;ГОСБ;4;8639;10;10;;
40;Среднерусский банк;СРБ;8608;Калужское ГОСБ ;ГОСБ;3;8608;12;12;;
40;Среднерусский банк;СРБ;8640;Костромское ГОСБ ;ГОСБ;4;8640;6;6;;
40;Среднерусский банк;СРБ;8606;Рязанское ГОСБ ;ГОСБ;3;8606;10;10;;
40;Среднерусский банк;СРБ;1026;Северное ГОСБ ;ГОСБ;1;1026;24;24;;
40;Среднерусский банк;СРБ;8609;Смоленское ГОСБ ;ГОСБ;4;8609;10;10;;
40;Среднерусский банк;СРБ;8607;Тверское ГОСБ ;ГОСБ;3;8607;8;8;;
40;Среднерусский банк;СРБ;8604;Тульское ГОСБ ;ГОСБ;2;8604;15;15;;
40;Среднерусский банк;СРБ;1024;Южное ГОСБ ;ГОСБ;1;1024;24;24;;
40;Среднерусский банк;СРБ;17;Ярославское ГОСБ ;ГОСБ;2;17;10;10;;
42;Волго-Вятский банк;ВВБ;4200;Аппарат Волго-Вятского банка;Аппарат ТБ;1;4200;15;15;;0000
42;Волго-Вятский банк;ВВБ;0;Аппарат территориального банка;Аппарат ТБ;1;0;0;0;;
42;Волго-Вятский банк;ВВБ;8610;Банк Татарстан ГОСБ ;ГОСБ;1;8610;31;31;;
42;Волго-Вятский банк;ВВБ;8611;Владимирское ГОСБ ;ГОСБ;3;8611;10;10;;
42;Волго-Вятский банк;ВВБ;9042;ГО по Нижегородской области;ГОСБ;1;9042;30;30;;
42;Волго-Вятский банк;ВВБ;8612;Кировское ГОСБ ;ГОСБ;3;8612;10;10;;
42;Волго-Вятский банк;ВВБ;8614;Марий Эл ГОСБ ;ГОСБ;5;8614;4;20;;
42;Волго-Вятский банк;ВВБ;8589;Мордовское ГОСБ ;ГОСБ;4;8589;6;6;;
42;Волго-Вятский банк;ВВБ;6984;Пермское ГОСБ ;ГОСБ;1;6984;21;21;;
42;Волго-Вятский банк;ВВБ;8618;Удмуртское ГОСБ ;ГОСБ;2;8618;9;9;;
42;Волго-Вятский банк;ВВБ;8613;Чувашское ГОСБ ;ГОСБ;4;8613;8;8;;
44;Сибирский банк;СИБ;8602;Абаканское ГОСБ;ГОСБ;5;8634;0;0;;
44;Сибирский банк;СИБ;8644;Алтайское ГОСБ ;ГОСБ;2;8644;14;14;;
44;Сибирский банк;СИБ;9044;Аппарат Сибирского банка;Аппарат ТБ;1;9044;13;13;;0000
44;Сибирский банк;СИБ;0;Аппарат территориального банка;Аппарат ТБ;1;0;0;0;;
44;Сибирский банк;СИБ;8558;Горно-Алтайское ГОСБ;ГОСБ;5;8047;0;0;;
44;Сибирский банк;СИБ;8615;Кемеровское ГОСБ ;ГОСБ;1;8615;17;17;;
44;Сибирский банк;СИБ;8646;Красноярское ГОСБ ;ГОСБ;1;8646;30;30;;
44;Сибирский банк;СИБ;8591;Кызылское ГОСБ;ГОСБ;5;8616;0;0;;
44;Сибирский банк;СИБ;8047;Новосибирское ГОСБ ;ГОСБ;1;8047;28;28;;
44;Сибирский банк;СИБ;8634;Омское ГОСБ ;ГОСБ;2;8634;11;11;;
44;Сибирский банк;СИБ;8616;Томское ГОСБ ;ГОСБ;4;8616;8;8;;
52;Юго-Западный банк;ЮЗБ;8620;Адыгейское ГОСБ ;ГОСБ;5;8643;0;0;;
52;Юго-Западный банк;ЮЗБ;0;Аппарат территориального банка;Аппарат ТБ;1;0;0;0;;
52;Юго-Западный банк;ЮЗБ;9052;Аппарат Юго-Западного банка;Аппарат ТБ;1;9052;14;14;;0000
52;Юго-Западный банк;ЮЗБ;9053;ГО по Донецкой Народной Республике;ГОСБ;1;9053;14;14;;
52;Юго-Западный банк;ЮЗБ;5200;ГО по Республике Крым;ГОСБ;5;5200;10;20;;9052
52;Юго-Западный банк;ЮЗБ;8590;Дагестанское ОСБ ;ГОСБ;3;8590;4;4;;
52;Юго-Западный банк;ЮЗБ;8633;Ингушское ОСБ ;ГОСБ;5;8633;1;20;;
52;Юго-Западный банк;ЮЗБ;8631;Кабардино-Балкарское ОСБ ;ГОСБ;5;8631;3;20;;
52;Юго-Западный банк;ЮЗБ;8579;Калмыцкое ОСБ ;ГОСБ;5;8579;1;20;;
52;Юго-Западный банк;ЮЗБ;8585;Карачаево-Черкесское ОСБ ;ГОСБ;5;8585;2;20;;
52;Юго-Западный банк;ЮЗБ;8619;Краснодарское ГОСБ ;ГОСБ;1;8619;48;48;;
52;Юго-Западный банк;ЮЗБ;5221;Ростовское ГОСБ ;ГОСБ;1;5221;38;38;;
52;Юго-Западный банк;ЮЗБ;8632;Северо-Осетинское ОСБ ;ГОСБ;5;8632;2;20;;
52;Юго-Западный банк;ЮЗБ;5230;Ставропольское ГОСБ ;ГОСБ;1;5230;26;26;;
52;Юго-Западный банк;ЮЗБ;1806;Центральное ГОСБ ;ГОСБ;5;5230;0;0;;
52;Юго-Западный банк;ЮЗБ;8643;Чеченское ОСБ ;ГОСБ;5;8643;1;20;;
54;Поволжский банк;ПБ;9054;Аппарат Поволжского банка;Аппарат ТБ;1;9054;9;9;;0000
54;Поволжский банк;ПБ;0;Аппарат территориального банка;Аппарат ТБ;1;0;0;0;;
54;Поволжский банк;ПБ;8625;Астраханское ГОСБ ;ГОСБ;4;8625;6;6;;
54;Поволжский банк;ПБ;8621;Волгоградское ГОСБ ;ГОСБ;2;8621;18;18;;
54;Поволжский банк;ПБ;8623;Оренбургское ГОСБ ;ГОСБ;2;8623;12;12;;
54;Поволжский банк;ПБ;8624;Пензенское ГОСБ ;ГОСБ;3;8624;10;10;;
54;Поволжский банк;ПБ;6991;Самарское ГОСБ ;ГОСБ;1;6991;28;28;;
54;Поволжский банк;ПБ;8622;Саратовское ГОСБ ;ГОСБ;2;8622;17;17;;
54;Поволжский банк;ПБ;8588;Ульяновское ГОСБ ;ГОСБ;3;8588;8;8;;
55;Северо-Западный банк;СЗБ;9055;Аппарат Северо-Западного банка;Аппарат ТБ;1;9055;18;18;;0000
55;Северо-Западный банк;СЗБ;0;Аппарат территориального банка;Аппарат ТБ;1;0;0;0;;
55;Северо-Западный банк;СЗБ;8637;Архангельское ГОСБ ;ГОСБ;2;8637;8;8;;
55;Северо-Западный банк;СЗБ;8638;Вологодское ГОСБ ;ГОСБ;3;8638;15;15;;
55;Северо-Западный банк;СЗБ;9500;ГО по г. Санкт-Петербургу;ГОСБ;1;9500;78;78;;9055
55;Северо-Западный банк;СЗБ;9600;ГО по Ленинградской области;ГОСБ;2;9600;17;17;;9056
55;Северо-Западный банк;СЗБ;8626;Калининградское ГОСБ ;ГОСБ;3;8626;10;10;;
55;Северо-Западный банк;СЗБ;8628;Карельское ГОСБ ;ГОСБ;4;8628;10;10;;
55;Северо-Западный банк;СЗБ;8617;Коми ГОСБ ;ГОСБ;3;8617;7;7;;
55;Северо-Западный банк;СЗБ;8627;Мурманское ГОСБ ;ГОСБ;2;8627;5;5;;
55;Северо-Западный банк;СЗБ;8629;Новгородское ГОСБ ;ГОСБ;4;8629;4;4;;
55;Северо-Западный банк;СЗБ;8630;Псковское ГОСБ ;ГОСБ;4;8630;5;5;;
70;Дальневосточный банк;ДВБ;7000;Аппарат Дальневосточного банка;Аппарат ТБ;1;7000;8;8;;0000
70;Дальневосточный банк;ДВБ;0;Аппарат территориального банка;Аппарат ТБ;1;0;0;0;;
70;Дальневосточный банк;ДВБ;4157;Биробиджанское ГОСБ ;ГОСБ;5;4157;1;20;;
70;Дальневосточный банк;ДВБ;8636;Благовещенское ГОСБ ;ГОСБ;3;8636;7;7;;
70;Дальневосточный банк;ДВБ;8556;Камчатское ГОСБ ;ГОСБ;4;8556;5;5;;
70;Дальневосточный банк;ДВБ;8635;Приморское ГОСБ ;ГОСБ;1;8635;21;21;;
70;Дальневосточный банк;ДВБ;8645;Северо-Восточное ГОСБ ;ГОСБ;5;8645;3;20;;
70;Дальневосточный банк;ДВБ;9070;Хабаровское ГОСБ ;ГОСБ;2;9070;16;16;;
70;Дальневосточный банк;ДВБ;8557;Чукотское ГОСБ ;ГОСБ;5;8557;1;20;;
70;Дальневосточный банк;ДВБ;8567;Южно-Сахалинское ГОСБ ;ГОСБ;3;8567;8;8;;
99;Центральный аппарат;ЦА;0;;ГОСБ;0;0;0;0;;
