MANAGER_PERSON_NUMBER;CONTEST_CODE;TOURNAMENT_CODE;CONTEST_DATE;PLAN_VALUE;FACT_VALUE;priority_type
00000000000001300114;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;3.00000;1
00000000000001379642;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;3.00000;1
00000000000001567814;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;2.00000;1
00000000000000121238;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;2.00000;1
00000000000002092963;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;2.00000;1
00000000000002070759;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;2.00000;1
00000000000002083745;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;2.00000;1
00000000000000814760;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;2.00000;1
00000000000000302184;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;2.00000;1
00000000000001002330;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;2.00000;1
00000000000000949884;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;2.00000;1
00000000000000328957;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;1.00000;1
00000000000000782335;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;1.00000;1
00000000000001689037;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;1.00000;1
00000000000001739935;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;1.00000;1
00000000000000670603;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;1.00000;1
00000000000000312351;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;1.00000;1
00000000000001949511;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;1.00000;1
00000000000001409938;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;1.00000;1
00000000000000339815;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;1.00000;1
00000000000001415944;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;1.00000;1
00000000000000415812;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;1.00000;1
