CONTEST_CODE;INDICATOR_CALC_TYPE;INDICATOR_ADD_CALC_TYPE;FULL_NAME;INDICATOR_CODE;INDICATOR_AGG_FUNCTION;INDICATOR_WEIGHT;INDICATOR_OBJECT;INDICATOR_MARK_TYPE;INDICATOR_MATCH;INDICATOR_VALUE;CONTEST_CRITERION;INDICATOR_FILTER;CONTESTANT_SELECTION;CALC_TYPE;N
01_2025-0_00-2_1;1;;WAIT;WAIT;;;;RATING;MIN;0;;;;1;287
01_2025-0_00-2_2;1;;WAIT;WAIT;;;;RATING;MIN;0;;;;1;288
01_2025-0_01-4_1;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;218
01_2025-0_01-4_2;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;219
01_2025-0_01-4_3;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;220
01_2025-0_01-9_1;1;;WAIT;WAIT;;;;CRITERION;=;3;;;;1;221
01_2025-0_01-9_2;1;;WAIT;WAIT;;;;CRITERION;=;2;;;;1;222
01_2025-0_01-9_3;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;223
01_2025-0_03-2-1;1;;EFFICIENCYARSKKSB_EFF;EFFICIENCYARSKKSB_EFF;SUM;1;;RATING;MAX;1;;;0;0;281
01_2025-0_03-2-2;1;;EFFICIENCYARSKKSB_OD_YEAR_GROWTH;EFFICIENCYARSKKSB_OD_YEAR_GROWTH;SUM;1;;RATING;MAX;1;;;0;0;282
01_2025-0_03-2-3;1;;EFFICIENCYARSKKSB_OD_YEAR_GROWTH;EFFICIENCYARSKKSB_OD_YEAR_GROWTH;SUM;1;;RATING;MAX;1;;;0;0;283
01_2025-0_03-2-4;1;;EFFICIENCYARSKKSB_OD_YEAR_GROWTH;EFFICIENCYARSKKSB_OD_YEAR_GROWTH;SUM;1;;RATING;MAX;1;;;0;0;284
01_2025-0_03-2-5;1;;EFFICIENCYARSKKSB_OD_YEAR_TEMP;EFFICIENCYARSKKSB_OD_YEAR_TEMP;SUM;1;;RATING;MAX;1;;;0;0;285
01_2025-0_03-2-6;1;;EFFICIENCYARSKKSB_OD_YEAR_TEMP;EFFICIENCYARSKKSB_OD_YEAR_TEMP;SUM;1;;RATING;MAX;1;;;0;0;286
01_2025-0_05-1_1;1;;WAIT;WAIT;;;;CRITERION;=;3;;;;1;224
01_2025-0_05-1_2;1;;WAIT;WAIT;;;;CRITERION;=;4;;;;1;225
01_2025-0_05-1_3;1;;WAIT;WAIT;;;;CRITERION;=;5;;;;1;226
01_2025-0_08-2_3;1;;WAIT;WAIT;;;;CRITERION;>=;500000;;;;1;181
01_2025-0_08-2_4;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;182
01_2025-0_08-2_5;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;183
01_2025-0_08-5_1;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;184
01_2025-0_08-6_1;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;185
01_2025-0_10-1_1;1;;INCOME;INCOME;SUM;1;;CRITERION;>=;100000;;;;0;186
01_2025-0_10-1_2;1;;INCOME;INCOME;SUM;1;;CRITERION;>=;500000;;;;0;187
01_2025-0_10-1_3;1;;INCOME;INCOME;SUM;1;;CRITERION;>=;3000000;;;;0;188
01_2025-0_10-1_4;1;;INCOME;INCOME;SUM;1;;CRITERION;>=;10000000;;;;0;189
01_2025-0_10-2_1;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;190
01_2025-0_10-3_1;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;191
01_2025-0_10-3_2;1;;WAIT;WAIT;;;;CRITERION;>=;5;;;;1;192
01_2025-0_10-3_3;1;;WAIT;WAIT;;;;CRITERION;>=;10;;;;1;193
01_2025-0_10-5_1;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;194
01_2025-0_10-5_2;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;195
01_2025-0_10-5_3;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;196
01_2025-0_10-5_4;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;197
01_2025-0_10-5_5;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;198
01_2025-0_10-5_6;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;199
01_2025-0_10-5_7;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;200
01_2025-0_10-5_8;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;201
01_2025-0_10-5_9;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;202
01_2025-0_11-1_1;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;289
01_2025-0_12-1_1;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;203
