MANAGER_PERSON_NUMBER;CONTEST_CODE;TOURNAMENT_CODE;CONTEST_DATE;PLAN_VALUE;FACT_VALUE;priority_type
00000000000001940838;01_2025-1_01-8;t_01_2025-1_01-8_2041;2025-10-24;1.00000;1.00000;1
00000000000000693383;01_2025-1_01-8;t_01_2025-1_01-8_2041;2025-10-24;1.00000;1.00000;1
00000000000002157197;01_2025-1_01-8;t_01_2025-1_01-8_2041;2025-10-24;1.00000;1.00000;1
00000000000002015455;01_2025-1_01-8;t_01_2025-1_01-8_2041;2025-10-24;1.00000;1.00000;1
00000000000001650083;01_2025-1_01-8;t_01_2025-1_01-8_2041;2025-10-24;1.00000;1.00000;1
00000000000002019011;01_2025-1_01-8;t_01_2025-1_01-8_2041;2025-10-24;1.00000;1.00000;1
00000000000999091107;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;2200000000.00000;1
00000000000999087399;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;1100000000.00000;1
00000000000999080906;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;1000000000.00000;1
00000000000999085888;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;700000000.00000;1
00000000000999086919;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;598000000.00000;1
00000000000999080465;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;500000000.00000;1
00000000000999061039;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;480000000.00000;1
00000000000999083417;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;260800000.00000;1
00000000000999066987;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;250000000.00000;1
00000000000999031396;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;230000000.00000;1
00000000000999017256;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;155000000.00000;1
00000000000999063115;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;150000000.00000;1
00000000000999093639;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;80000000.00000;1
00000000000999085225;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;38000000.00000;1
00000000000999031202;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;0.00000;1
00000000000999087142;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;0.00000;1
00000000000999088503;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;0.00000;1
00000000000999088168;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;0.00000;1
00000000000999013772;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;0.00000;1
00000000000999087624;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;0.00000;1
00000000000999080318;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;0.00000;1
00000000000999079681;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;0.00000;1
00000000000999067862;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;0.00000;1
00000000000999093290;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;0.00000;1
00000000000999086156;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;0.00000;1
00000000000999086130;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;0.00000;1
00000000000999054904;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;0.00000;1
00000000000999089041;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;0.00000;1
00000000000999086564;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;0.00000;1
00000000000999086767;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;0.00000;1
00000000000999090514;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2041;2025-11-11;0.00000;0.00000;1
00000000000999082274;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;490869202.58405;1
00000000000999010631;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;306043093.72476;1
00000000000999020202;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;153605391.20857;1
00000000000999091875;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;31809529.00214;1
00000000000999075134;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;25000582.53810;1
00000000000999081931;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;15714285.71429;1
00000000000999013415;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;8495875.91976;1
00000000000999009960;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;4953967.81143;1
00000000000999025250;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;4378330.35381;1
00000000000999063698;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;0.00000;1
00000000000999042826;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;0.00000;1
00000000000999092976;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;0.00000;1
00000000000999094265;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;0.00000;1
00000000000999012756;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;0.00000;1
00000000000999083497;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;0.00000;1
00000000000999013306;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;0.00000;1
00000000000999089530;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;0.00000;1
00000000000999087337;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;0.00000;1
00000000000999069606;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;0.00000;1
00000000000999044062;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;0.00000;1
00000000000999086279;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;0.00000;1
00000000000999090205;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;0.00000;1
00000000000999094115;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;0.00000;1
00000000000999047562;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2041;2025-11-11;0.00000;125847202.84024;1
