2025-11-14 02:40:51,013 | INFO | __main__ | <module> | Запуск сервера админ-панели...
2025-11-14 02:40:51,013 | INFO | utils.file_manager | create_edit_session | Создание новой сессии: 20251114_0240
2025-11-14 02:40:51,014 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: CONTEST-DATA (PROM) 2025-11-13 v0.csv
2025-11-14 02:40:51,014 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: GROUP (PROM) 2025-11-13 v0.csv
2025-11-14 02:40:51,015 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: INDICATOR (PROM) 2025-11-13 v0.csv
2025-11-14 02:40:51,016 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: REPORT (PROM-KMKKSB) 2025-11-10 v1 (correct).csv
2025-11-14 02:40:51,016 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: REWARD (PROM) 2025-11-13 v0.csv
2025-11-14 02:40:51,016 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: REWARD-LINK (PROM) 2025-11-13 v0.csv
2025-11-14 02:40:51,017 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: SVD_KB_DM_GAMIFICATION_ORG_UNIT_V20 - 2025.08.28.csv
2025-11-14 02:40:51,017 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: TOURNAMENT-SCHEDULE (PROM) 2025-11-13 v0.csv
2025-11-14 02:40:51,017 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: PROM_USER_ROLE 2025-10-31 v1.csv
2025-11-14 02:40:51,018 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: PROM_USER_ROLE SB 2025-10-31 v1.csv
2025-11-14 02:40:51,019 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: employee_PROM_final_5000.csv
2025-11-14 02:40:51,019 | INFO | utils.file_manager | create_edit_session | Сессия создана: скопировано 11 файлов из 11
2025-11-14 02:40:51,019 | INFO | __main__ | <module> | Создана новая сессия: 20251114_0240
2025-11-14 02:40:51,019 | INFO | __main__ | <module> | Сервер готов к работе
2025-11-14 02:40:51,039 | WARNING | werkzeug | _log |  * Debugger is active!
2025-11-14 02:40:51,047 | INFO | werkzeug | _log |  * Debugger PIN: 767-849-785
2025-11-14 02:40:55,335 | DEBUG | __main__ | get_records | get_records: file_key=CONTEST-DATA, args={'page': '1', 'per_page': '1'}
2025-11-14 02:40:55,335 | DEBUG | __main__ | get_records | Параметры: page=1, per_page=1, search=, sort_by=None
2025-11-14 02:40:55,335 | DEBUG | utils.data_manager | get_records | get_records: file_key=CONTEST-DATA, page=1, per_page=1
2025-11-14 02:40:55,335 | DEBUG | utils.file_manager | read_csv | read_csv: file_key=CONTEST-DATA
2025-11-14 02:40:55,335 | DEBUG | utils.file_manager | read_csv | Нет текущей сессии, получаем последнюю
