MANAGER_PERSON_NUMBER;CONTEST_CODE;TOURNAMENT_CODE;CONTEST_DATE;PLAN_VALUE;FACT_VALUE;priority_type
00000000000001837506;01_2025-0_13-1_3;t_01_2025-0_13-1_3_1001;2026-01-25;10.00000;10.00000;1
00000000000001369075;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;17.00000;1
00000000000001133564;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;14.00000;1
00000000000000861080;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;9.00000;1
00000000000000274460;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;8.00000;1
00000000000001648619;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;7.00000;1
00000000000000344875;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;5.00000;1
00000000000001010884;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;5.00000;1
00000000000001112328;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;5.00000;1
00000000000001368703;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;5.00000;1
00000000000001922405;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;5.00000;1
00000000000000351816;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;4.00000;1
00000000000001006959;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;4.00000;1
00000000000001123481;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;4.00000;1
00000000000001152041;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;4.00000;1
00000000000001422489;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;4.00000;1
00000000000001430217;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;4.00000;1
00000000000001458934;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;4.00000;1
00000000000001629910;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;4.00000;1
00000000000001925183;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;4.00000;1
00000000000002008389;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;4.00000;1
00000000000002034660;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;4.00000;1
00000000000000351146;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;3.00000;1
00000000000000353299;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;3.00000;1
00000000000000365626;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;3.00000;1
00000000000000401657;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;3.00000;1
00000000000000802514;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;3.00000;1
00000000000000821177;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;3.00000;1
00000000000000862996;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;3.00000;1
00000000000000930393;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;3.00000;1
00000000000000938560;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;3.00000;1
00000000000000940822;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;3.00000;1
00000000000000973746;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;3.00000;1
00000000000001067600;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;3.00000;1
00000000000001309974;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;3.00000;1
00000000000001409880;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;3.00000;1
00000000000001418444;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;3.00000;1
00000000000001455420;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;3.00000;1
00000000000001471288;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;3.00000;1
00000000000001478384;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;3.00000;1
00000000000001543179;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;3.00000;1
00000000000001579072;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;3.00000;1
00000000000001643019;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;3.00000;1
