Уникальный идентификатор записи;Код награды;Табельный номер сотрудника;Код турнира;Комментарий;Дата создания;Дата обновления;Дата начала действия награды;Дата окончания действия награды;Версия записи
677088852242554737;REWARD_m_07_04;01536677;TOURNAMENT_m_07_2024_Q04;null;2025-02-11T09:49:22.077Z;2025-02-11T09:49:22.077Z;2025-02-11T00:00Z;null;0
685215424372909313;REWARD_m_07_03;01791490;TOURNAMENT_m_07_2024_Q04;null;2025-03-05T20:01:27.857Z;2025-03-05T20:01:27.857Z;2025-03-05T00:00Z;null;0
685215424372909312;REWARD_m_07_03;01774371;TOURNAMENT_m_07_2024_Q04;null;2025-03-05T20:01:27.857Z;2025-03-05T20:01:27.857Z;2025-03-05T00:00Z;null;0
685215424372909311;REWARD_m_07_03;01316331;TOURNAMENT_m_07_2024_Q04;null;2025-03-05T20:01:27.857Z;2025-03-05T20:01:27.857Z;2025-03-05T00:00Z;null;0
685215424372909310;REWARD_m_07_03;00411521;TOURNAMENT_m_07_2024_Q04;null;2025-03-05T20:01:27.857Z;2025-03-05T20:01:27.857Z;2025-03-05T00:00Z;null;0
677088852259331968;REWARD_m_07_03;02024217;TOURNAMENT_m_07_2024_Q04;null;2025-02-11T09:49:22.081Z;2025-02-11T09:49:22.081Z;2025-02-11T00:00Z;null;0
677088852259331967;REWARD_m_07_03;01965768;TOURNAMENT_m_07_2024_Q04;null;2025-02-11T09:49:22.081Z;2025-02-11T09:49:22.081Z;2025-02-11T00:00Z;null;0
677088852259331966;REWARD_m_07_03;01958138;TOURNAMENT_m_07_2024_Q04;null;2025-02-11T09:49:22.081Z;2025-02-11T09:49:22.081Z;2025-02-11T00:00Z;null;0
677088852259331965;REWARD_m_07_03;01872049;TOURNAMENT_m_07_2024_Q04;null;2025-02-11T09:49:22.081Z;2025-02-11T09:49:22.081Z;2025-02-11T00:00Z;null;0
677088852259331964;REWARD_m_07_03;01790619;TOURNAMENT_m_07_2024_Q04;null;2025-02-11T09:49:22.081Z;2025-02-11T09:49:22.081Z;2025-02-11T00:00Z;null;0
677088852259331963;REWARD_m_07_03;01782829;TOURNAMENT_m_07_2024_Q04;null;2025-02-11T09:49:22.081Z;2025-02-11T09:49:22.081Z;2025-02-11T00:00Z;null;0
677088852259331962;REWARD_m_07_03;01727995;TOURNAMENT_m_07_2024_Q04;null;2025-02-11T09:49:22.081Z;2025-02-11T09:49:22.081Z;2025-02-11T00:00Z;null;0
677088852259331961;REWARD_m_07_03;01536677;TOURNAMENT_m_07_2024_Q04;null;2025-02-11T09:49:22.081Z;2025-02-11T09:49:22.081Z;2025-02-11T00:00Z;null;0
677088852259331960;REWARD_m_07_03;01123633;TOURNAMENT_m_07_2024_Q04;null;2025-02-11T09:49:22.081Z;2025-02-11T09:49:22.081Z;2025-02-11T00:00Z;null;0
677088852259331959;REWARD_m_07_03;00446126;TOURNAMENT_m_07_2024_Q04;null;2025-02-11T09:49:22.081Z;2025-02-11T09:49:22.081Z;2025-02-11T00:00Z;null;0
677088852259331958;REWARD_m_07_03;00339719;TOURNAMENT_m_07_2024_Q04;null;2025-02-11T09:49:22.081Z;2025-02-11T09:49:22.081Z;2025-02-11T00:00Z;null;0
677088852200611829;REWARD_m_06_04;01602589;TOURNAMENT_m_06_2024_Q04;null;2025-02-11T09:49:22.067Z;2025-02-11T09:49:22.067Z;2025-02-11T00:00Z;null;0
685215424339354865;REWARD_m_06_03;01737744;TOURNAMENT_m_06_2024_Q04;null;2025-03-05T20:01:27.849Z;2025-03-05T20:01:27.849Z;2025-03-05T00:00Z;null;0
685215424339354864;REWARD_m_06_03;01346653;TOURNAMENT_m_06_2024_Q04;null;2025-03-05T20:01:27.849Z;2025-03-05T20:01:27.849Z;2025-03-05T00:00Z;null;0
677088852213194747;REWARD_m_06_03;02082123;TOURNAMENT_m_06_2024_Q04;null;2025-02-11T09:49:22.070Z;2025-02-11T09:49:22.070Z;2025-02-11T00:00Z;null;0
